MemberNo,FirstName,LastName,Email,Mobile,BirthDate,JoinedDate,LoyaltyTier,BalancePoints,SignedUpProperty,MostPlayedProperty,LastVisitDate,Locale,State,MonthlySpend,DiscountOffer,Current_CST_Time,Current_AEST_Time
1001,Thomas,Poole,xux-atepovi94@example.com,61400000000,23/04/1985,15/01/2020,Gold,1231,Casino Royale,Casino Royale,25/06/2024,en-US,NV,500,,03/08/2024,04/08/2024
1002,Keith,Berry,vapocex-eba10@example.com,61400000001,12/08/1990,22/11/2019,Platinum,45000,Bellagio,Bellagio,26/06/2024,en-US,CA,800,,03/08/2024,04/08/2024
1003,Jake,Tucker,xumulac_uwa19@example.com,61400000002,14/03/1982,19/05/2018,Bronze,346,Venetian,Venetian,24/06/2024,en-US,FL,200,,03/08/2024,04/08/2024
1004,Molly,Marshall,rinozu_riwe91@example.com,61400000003,08/09/1995,11/03/2021,Diamond,3543,MGM Grand,Aria,23/06/2024,en-US,TX,1000,,03/08/2024,04/08/2024
1005,Katherine,Lambert,fihow_anete41@example.com,61400000004,30/12/1978,25/07/2017,Silver,700,Aria,MGM Grand,22/06/2024,en-US,NV,300,,03/08/2024,04/08/2024
1006,Stephanie,Hughes,zijociv_uzo74@example.com,61400000005,22/01/1987,14/09/2020,Gold,1500,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,600,,03/08/2024,04/08/2024
1007,Jake,Churchill,jezuz-ukaye81@example.com,61400000006,18/11/1992,05/06/2019,Silver,840,Aria,Aria,20/06/2024,en-US,CA,350,,03/08/2024,04/08/2024
1008,Matt,Payne,vobasun-awu18@example.com,61400000007,07/02/1983,01/08/2021,Diamond,4679,Bellagio,Bellagio,19/06/2024,en-US,NV,1100,,03/08/2024,04/08/2024
1009,James,Lyman,tepo-rimidu74@example.com,61400000008,15/04/1979,10/12/2016,Gold,3241,MGM Grand,Bellagio,18/06/2024,en-US,TX,700,,03/08/2024,04/08/2024
1010,Lillian,Hodges,vetur_ubeno41@example.com,61400000009,25/05/1981,08/04/2018,Platinum,1231,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,850,,03/08/2024,04/08/2024
1011,Sam,Mills,bixe-tohuci14@example.com,61400000010,23/04/1985,10/01/2024,Gold,45000,Casino Royale,Casino Royale,25/06/2024,en-US,NV,817,,03/08/2024,04/08/2024
1012,Emma,Watson,mecon_arono7@example.com,61400000011,12/08/1990,15/05/2024,Platinum,346,Bellagio,Bellagio,26/06/2024,en-US,CA,849,,03/08/2024,04/08/2024
1013,Molly,Ball,kugok_atowe37@example.com,61400000012,14/03/1982,15/01/2020,Bronze,3543,Venetian,Venetian,24/06/2024,en-US,FL,881,,03/08/2024,04/08/2024
